Team,Conference
Duke,ACC
Clemson,ACC
Louisville,ACC
SMU,ACC
Wake Forest,ACC
UNC,ACC
Stanford,ACC
Georgia Tech,ACC
Pitt,ACC
Florida State,ACC
Virginia,ACC
Notre Dame,ACC
Virginia Tech,ACC
Syracuse,ACC
California,ACC
NC State,ACC
Boston College,ACC
Miami (FL),ACC
Bryant,America East
Vermont,America East
Maine,America East
Albany (NY),America East
Binghamton,America East
UMass-Lowell,America East
New Hampshire,America East
UMBC,America East
NJIT,America East
Memphis,American
North Texas,American
UAB,American
Tulane,American
East Carolina,American
Florida Atlantic,American
Temple,American
Wichita State,American
South Florida,American
Tulsa,American
UTSA,American
Rice,American
Charlotte,American
Lipscomb,ASUN
North Alabama,ASUN
Florida Gulf Coast,ASUN
Jacksonville,ASUN
Eastern Kentucky,ASUN
Queens (NC),ASUN
North Florida,ASUN
Austin Peay,ASUN
Stetson,ASUN
Central Arkansas,ASUN
West Georgia,ASUN
Bellarmine,ASUN
VCU,Atlantic 10
George Mason,Atlantic 10
Loyola (IL),Atlantic 10
Dayton,Atlantic 10
St. Joseph's,Atlantic 10
Saint Louis,Atlantic 10
St. Bonaventure,Atlantic 10
George Washington,Atlantic 10
Duquesne,Atlantic 10
Rhode Island,Atlantic 10
Davidson,Atlantic 10
La Salle,Atlantic 10
Richmond,Atlantic 10
Fordham,Atlantic 10
Houston,Big 12
Texas Tech,Big 12
BYU,Big 12
Arizona,Big 12
Iowa State,Big 12
Kansas,Big 12
West Virginia,Big 12
Baylor,Big 12
TCU,Big 12
Kansas State,Big 12
Utah,Big 12
Cincinnati,Big 12
UCF,Big 12
Oklahoma State,Big 12
Arizona State,Big 12
Colorado,Big 12
St. John's (NY),Big East
Creighton,Big East
UConn,Big East
Marquette,Big East
Xavier,Big East
Villanova,Big East
Georgetown,Big East
Butler,Big East
Providence,Big East
DePaul,Big East
Seton Hall,Big East
Northern Colorado,Big Sky
Montana,Big Sky
Portland State,Big Sky
Idaho State,Big Sky
Montana State,Big Sky
Northern Arizona,Big Sky
Idaho,Big Sky
Eastern Washington,Big Sky
Weber State,Big Sky
Sacramento State,Big Sky
High Point,Big South
Winthrop,Big South
UNC Asheville,Big South
Radford,Big South
Longwood,Big South
Presbyterian,Big South
Charleston Southern,Big South
Gardner-Webb,Big South
USC Upstate,Big South
Michigan State,Big Ten
Maryland,Big Ten
Michigan,Big Ten
Wisconsin,Big Ten
UCLA,Big Ten
Purdue,Big Ten
Oregon,Big Ten
Illinois,Big Ten
Indiana,Big Ten
Ohio State,Big Ten
Rutgers,Big Ten
Nebraska,Big Ten
Iowa,Big Ten
Northwestern,Big Ten
USC,Big Ten
Minnesota,Big Ten
Penn State,Big Ten
Washington,Big Ten
UC-San Diego,Big West
UC-Irvine,Big West
UCSB,Big West
UC-Davis,Big West
Cal Poly,Big West
Cal State Bakersfield,Big West
Hawaii,Big West
Long Beach State,Big West
Cal State Fullerton,Big West
UC-Riverside,Big West
Cal State Northridge,Big West
Towson,CAA
UNC Wilmington,CAA
College of Charleston,CAA
William & Mary,CAA
Campbell,CAA
Monmouth,CAA
Drexel,CAA
Northeastern,CAA
Elon,CAA
Hampton,CAA
Hofstra,CAA
Stony Brook,CAA
North Carolina A&T,CAA
Delaware,CUSA
Missouri State,CUSA
Liberty,CUSA
Middle Tennessee,CUSA
Jacksonville State,CUSA
Kennesaw State,CUSA
New Mexico State,CUSA
Louisiana Tech,CUSA
Western Kentucky,CUSA
UTEP,CUSA
Sam Houston,CUSA
Florida International,CUSA
Robert Morris,Horizon
Milwaukee,Horizon
Cleveland State,Horizon
