,GameID,Date,Team,Opponent,Location,Rank,Opponent Rank
0,2025-11-03-Lehigh-vs-Houston-m,2025-11-03,Lehigh,Houston,Away,NR, 2 
1,2025-11-03-Lehigh-vs-Houston-m,2025-11-03,Houston,Lehigh,Home, 2 ,NR
2,2025-11-03-Arizona-vs-Florida-m,2025-11-03,Arizona,Florida,Away, 13 , 3 
3,2025-11-03-Arizona-vs-Florida-m,2025-11-03,Florida,Arizona,Home, 3 , 13 
4,2025-11-03-New Haven-vs-UConn-m,2025-11-03,New Haven,UConn,Away,NR, 4 
5,2025-11-03-New Haven-vs-UConn-m,2025-11-03,UConn,New Haven,Home, 4 ,NR
6,2025-11-03-Quinnipiac-vs-St. John's (NY)-m,2025-11-03,Quinnipiac,St. John's (NY),Away,NR, 5 
7,2025-11-03-Quinnipiac-vs-St. John's (NY)-m,2025-11-03,St. John's (NY),Quinnipiac,Home, 5 ,NR
8,2025-11-03-Oakland-vs-Michigan-m,2025-11-03,Oakland,Michigan,Away,NR, 7 
9,2025-11-03-Oakland-vs-Michigan-m,2025-11-03,Michigan,Oakland,Home, 7 ,NR
10,2025-11-03-Villanova-vs-BYU-m,2025-11-03,Villanova,BYU,Away,NR, 8 
11,2025-11-03-Villanova-vs-BYU-m,2025-11-03,BYU,Villanova,Home, 8 ,NR
12,2025-11-03-South Carolina State-vs-Louisville-m,2025-11-03,South Carolina State,Louisville,Away,NR, 11 
13,2025-11-03-South Carolina State-vs-Louisville-m,2025-11-03,Louisville,South Carolina State,Home, 11 ,NR
14,2025-11-03-Eastern Washington-vs-UCLA-m,2025-11-03,Eastern Washington,UCLA,Away,NR, 12 
15,2025-11-03-Eastern Washington-vs-UCLA-m,2025-11-03,UCLA,Eastern Washington,Home, 12 ,NR
16,2025-11-03-Southern-vs-Arkansas-m,2025-11-03,Southern,Arkansas,Away,NR, 14 
17,2025-11-03-Southern-vs-Arkansas-m,2025-11-03,Arkansas,Southern,Home, 14 ,NR
18,2025-11-03-North Dakota-vs-Alabama-m,2025-11-03,North Dakota,Alabama,Away,NR, 15 
19,2025-11-03-North Dakota-vs-Alabama-m,2025-11-03,Alabama,North Dakota,Home, 15 ,NR
20,2025-11-03-FDU-vs-Iowa State-m,2025-11-03,FDU,Iowa State,Away,NR, 16 
21,2025-11-03-FDU-vs-Iowa State-m,2025-11-03,Iowa State,FDU,Home, 16 ,NR
22,2025-11-03-Jackson State-vs-Illinois-m,2025-11-03,Jackson State,Illinois,Away,NR, 17 
23,2025-11-03-Jackson State-vs-Illinois-m,2025-11-03,Illinois,Jackson State,Home, 17 ,NR
24,2025-11-03-Mercer-vs-Tennessee-m,2025-11-03,Mercer,Tennessee,Away,NR, 18 
25,2025-11-03-Mercer-vs-Tennessee-m,2025-11-03,Tennessee,Mercer,Home, 18 ,NR
26,2025-11-03-Green Bay-vs-Kansas-m,2025-11-03,Green Bay,Kansas,Away,NR, 19 
27,2025-11-03-Green Bay-vs-Kansas-m,2025-11-03,Kansas,Green Bay,Home, 19 ,NR
28,2025-11-03-Bethune-Cookman-vs-Auburn-m,2025-11-03,Bethune-Cookman,Auburn,Away,NR, 20 
29,2025-11-03-Bethune-Cookman-vs-Auburn-m,2025-11-03,Auburn,Bethune-Cookman,Home, 20 ,NR
30,2025-11-03-Texas Southern-vs-Gonzaga-m,2025-11-03,Texas Southern,Gonzaga,Away,NR, 21 
31,2025-11-03-Texas Southern-vs-Gonzaga-m,2025-11-03,Gonzaga,Texas Southern,Home, 21 ,NR
